GeneID	TotalCounts
g1	0
g10	0
g100	0
g1000	120
g1001	1
g1002	337
g1003	600
g1004	543
g1005	38
g1006	2304
g1007	16
g1008	0
g1009	9
g101	7169
g1010	29
g1011	0
g1012	16
g1013	89
g1014	64
g1015	0
g1016	2
g1017	2
g1018	48
g1019	761
g102	0
g1020	0
g1021	3569
g1022	308
g1023	446
g1024	3695
g1025	0
g1026	0
g1027	0
g1028	0
g1029	17
g103	1310
g1030	28
g1031	30
g1032	0
g1033	777
g1034	40
g1035	1453
g1036	31
g1037	4596
g1038	0
g1039	0
g104	4359
g1040	1
g1041	4698
g1042	1375
g1043	2493
g1044	1
g1045	0
g1046	242
g1047	6
g1048	0
g1049	2640
g105	3
g1050	5673
g1051	838
g1052	3571
g1053	10
g1054	1251
g1055	2895
g1056	1
g1057	1
g1058	1627
g1059	1
g106	9
g1060	0
g1061	0
g1062	0
g1063	17
g1064	1395
g1065	1
g1066	0
g1067	1
g1068	0
g1069	0
g107	1097
g1070	0
g1071	0
g1072	0
g1073	0
g1074	0
g1075	2
g1076	0
g1077	3704
g1078	0
g1079	0
g108	591
g1080	0
g1081	9
g1082	0
g1083	535
g1084	68634
g1085	2100
g1086	3
g1087	0
g1088	0
g1089	135
g109	22832
g1090	0
g1091	5322
g1092	1568
g1093	94
g1094	13
g1095	8
g1096	0
g1097	1
g1098	0
g1099	12
g11	4
g110	3432
g1100	0
g1101	242
g1102	725
g1103	25
g1104	0
g1105	0
g1106	0
g1107	0
g1108	0
g1109	0
g111	12
g1110	0
g1111	0
g1112	0
g1113	1
g1114	1
g1115	0
g1116	0
g1117	1
g1118	0
g1119	4308
g112	2323
g1120	16
g1121	1475
g1122	1144
g1123	27
g1124	0
g1125	4967
g1126	0
g1127	0
g1128	0
g1129	1937
g113	247
g1130	2
g1131	0
g1132	0
g1133	9
g1134	0
g1135	86
g1136	0
g1137	0
g1138	0
g1139	0
g114	119
g1140	0
g1141	0
g1142	0
g1143	0
g1144	20
g1145	114
g1146	1
g1147	0
g1148	0
g1149	0
g115	246
g1150	0
g1151	1
g1152	430
g1153	0
g1154	3
g1155	1
g1156	1
g1157	0
g1158	0
g1159	83
g116	3025
g1160	0
g1161	0
g1162	0
g1163	742
g1164	1
g1165	0
g1166	0
g1167	8080
g1168	13
g1169	0
g117	0
g1170	966
g1171	1
g1172	0
g1173	346
g1174	1
g1175	1901
g1176	606
g1177	0
g1178	0
g1179	0
g118	7306
g1180	0
g1181	0
g1182	0
g1183	0
g1184	11
g1185	1353
g1186	0
g1187	0
g1188	0
g1189	0
g119	1
g1190	0
g1191	0
g1192	0
g1193	0
g1194	491
g1195	41
g1196	52
g1197	458
g1198	0
g1199	0
g12	12
g120	1914
g1200	0
g1201	0
g1202	0
g1203	0
g1204	0
g1205	0
g1206	0
g1207	0
g1208	18
g1209	0
g121	24
g1210	0
g1211	0
g1212	0
g1213	0
g1214	0
g1215	0
g1216	0
g1217	0
