GeneID	TotalCounts
g1	0
g10	0
g100	13
g1000	16
g1001	46
g1002	943
g1003	1004
g1004	353
g1005	51
g1006	1300
g1007	43
g1008	0
g1009	28
g101	7898
g1010	56
g1011	35
g1012	81
g1013	36
g1014	39
g1015	69
g1016	105
g1017	111
g1018	48
g1019	519
g102	7
g1020	14
g1021	1204
g1022	278
g1023	566
g1024	1521
g1025	26
g1026	10
g1027	19
g1028	20
g1029	32
g103	495
g1030	49
g1031	19
g1032	83
g1033	816
g1034	37
g1035	1290
g1036	103
g1037	4969
g1038	22
g1039	13
g104	2408
g1040	16
g1041	4035
g1042	1672
g1043	2092
g1044	39
g1045	8
g1046	669
g1047	25
g1048	22
g1049	3465
g105	29
g1050	3784
g1051	471
g1052	1356
g1053	63
g1054	473
g1055	3647
g1056	27
g1057	35
g1058	378
g1059	21
g106	125
g1060	23
g1061	5
g1062	0
g1063	9
g1064	779
g1065	8
g1066	0
g1067	0
g1068	0
g1069	0
g107	460
g1070	0
g1071	0
g1072	0
g1073	0
g1074	0
g1075	91
g1076	30
g1077	6149
g1078	119
g1079	64
g108	1183
g1080	97
g1081	38
g1082	1
g1083	317
g1084	17075
g1085	418
g1086	1062
g1087	68
g1088	37
g1089	205
g109	5486
g1090	15
g1091	2236
g1092	1701
g1093	47
g1094	34
g1095	3
g1096	11
g1097	52
g1098	4
g1099	71
g11	75
g110	3455
g1100	42
g1101	160
g1102	437
g1103	12
g1104	0
g1105	0
g1106	0
g1107	6
g1108	7
g1109	0
g111	97
g1110	0
g1111	2
g1112	0
g1113	21
g1114	5
g1115	45
g1116	16
g1117	20
g1118	20
g1119	3593
g112	1345
g1120	51
g1121	1342
g1122	608
g1123	13
g1124	26
g1125	2234
g1126	31
g1127	31
g1128	15
g1129	380
g113	146
g1130	0
g1131	18
g1132	49
g1133	83
g1134	20
g1135	88
g1136	0
g1137	0
g1138	1
g1139	0
g114	115
g1140	3
g1141	9
g1142	16
g1143	23
g1144	46
g1145	170
g1146	13
g1147	18
g1148	30
g1149	6
g115	153
g1150	21
g1151	5
g1152	339
g1153	25
g1154	54
g1155	57
g1156	46
g1157	4
g1158	8
g1159	57
g116	1244
g1160	39
g1161	23
g1162	84
g1163	354
g1164	20
g1165	20
g1166	8
g1167	5121
g1168	85
g1169	34
g117	28
g1170	1034
g1171	109
g1172	16
g1173	184
g1174	91
g1175	2061
g1176	1651
g1177	3
g1178	14
g1179	0
g118	4388
g1180	12
g1181	9
g1182	1
g1183	56
g1184	65
g1185	571
g1186	20
g1187	50
g1188	22
g1189	79
g119	31
g1190	36
g1191	14
g1192	3
g1193	12
g1194	1052
g1195	119
g1196	101
g1197	372
g1198	75
g1199	0
g12	279
g120	1402
g1200	0
g1201	0
g1202	0
g1203	0
g1204	0
g1205	1
g1206	0
g1207	1
g1208	0
g1209	12
g121	29
g1210	0
g1211	1
g1212	0
g1213	0
g1214	0
g1215	0
g1216	0
g1217	0
